name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
Psychologische Diagnostik,12/17/2019 12:00 → 01/20/2020 12:24,de,"Dec 17, 2019 12:00 PM","Jan 20, 2020 12:24 PM",https://bestande.ch/uzh/50942329/chat,34,mrsf1,20192,,"Jan 20, 2020 12:31 PM"
Statistik 3,12/19/2019 18:00 → 01/20/2020 12:24,de,"Dec 19, 2019 6:00 PM","Jan 20, 2020 12:24 PM",https://bestande.ch/uzh/50942328/timetable,31,mrsf1,20192,,"Jan 20, 2020 12:33 PM"
Personell Economics,01/07/2020 10:00 → 01/20/2020 11:27,en,"Jan 7, 2020 10:00 AM","Jan 20, 2020 11:27 AM",https://bestande.ch/uzh/50377301/stats,13,AwesomeDude19,20192,,"Jan 20, 2020 12:47 PM"
Writing Skills and Media Analysis,12/17/2019 13:45 → 01/17/2020 7:00,en,"Dec 17, 2019 1:45 PM","Jan 17, 2020 7:00 AM",https://bestande.ch/uzh/50941671/HS19/chat,30,avocadont,20192,,"Jan 20, 2020 12:49 PM"
Financial Statement Analysis,01/13/2020 14:00 → 01/20/2020 16:24,de,"Jan 13, 2020 2:00 PM","Jan 20, 2020 4:24 PM",https://bestande.ch/uzh/50046400/HS19/chat,7,DeinUsername,20192,,"Jan 21, 2020 9:03 PM"
UWW 273 Introduction to Theoretical Ecology,12/17/2019 12:00 → 01/21/2020 14:13,en,"Dec 17, 2019 12:00 PM","Jan 21, 2020 2:13 PM",https://bestande.ch/uzh/50799104/HS19/timetable,35,blyatman69,20192,,"Jan 21, 2020 9:06 PM"
Topics in Open Economy Macroeconomics (L),01/06/2020 15:45 → 01/21/2020 14:51,en,"Jan 6, 2020 3:45 PM","Jan 21, 2020 2:51 PM",https://bestande.ch/uzh/50953666/HS19,14,psychodude11,20192,,"Jan 21, 2020 9:11 PM"
Mikroökonomik II,12/20/2019 10:00 → 01/21/2020 14:48,de,"Dec 20, 2019 10:00 AM","Jan 21, 2020 2:48 PM",https://bestande.ch/uzh/50789101/chat,32,herzli,20192,,"Jan 21, 2020 9:14 PM"
UWW 221 Species Interactions and Biodiversity,12/16/2019 12:00 → 01/21/2020 15:35,en,"Dec 16, 2019 12:00 PM","Jan 21, 2020 3:35 PM",https://bestande.ch/uzh/50957658/chat,36,blyatman69,20192,,"Jan 21, 2020 9:17 PM"
Identity and Mass Media,12/17/2019 15:45 → 01/21/2020 16:23,de,"Dec 17, 2019 3:45 PM","Jan 21, 2020 4:23 PM",https://bestande.ch/uzh/50962006/timetable,35,Librarygirl4,20192,,"Jan 21, 2020 9:20 PM"
Advanced Macroeconomics (L+E),01/07/2020 10:00 → 01/21/2020 21:42,en,"Jan 7, 2020 10:00 AM","Jan 21, 2020 9:42 PM",https://bestande.ch/uzh/50450169,14,2020Han Guoyu,20192,,"Jan 21, 2020 9:22 PM"
"Takeovers, Restructuring, and Corporate Governance (S)",01/13/2020 12:00 → 01/21/2020 21:08,de,"Jan 13, 2020 12:00 PM","Jan 21, 2020 9:08 PM",https://bestande.ch/uzh/50526110/timetable,8,Dud,20192,,"Jan 21, 2020 9:24 PM"
Persuasion Research I: Effects of strategic Communication,12/10/2019 18:00 → 01/21/2020 21:51,de,"Dec 10, 2019 6:00 PM","Jan 21, 2020 9:51 PM",https://bestande.ch/uzh/50960384/chat,42,abweseheitsgenie,20192,,"Jan 21, 2020 9:25 PM"
BIO 344 Development of the Nervous System,01/08/2020 12:00 → 01/21/2020 11:30,de,"Jan 8, 2020 12:00 PM","Jan 21, 2020 11:30 AM",https://bestande.ch/uzh/50354215/chat,12,Nervenflattern,20192,,"Jan 21, 2020 9:52 PM"
Medicinal Chemistry,01/10/2020 12:00 → 01/21/2020 12:00,de,"Jan 10, 2020 12:00 PM","Jan 21, 2020 12:00 PM",https://bestande.ch/uzh/50772478/chat,11,@realDonaldTrump,20192,,"Jan 21, 2020 11:00 PM"
People-Oriented Computing,12/18/2019 13:45 → 01/22/2020 10:56,de,"Dec 18, 2019 1:45 PM","Jan 22, 2020 10:56 AM",https://bestande.ch/uzh/50793298/chat,34,MensaBoy0,20192,,"Jan 22, 2020 1:02 PM"
Computational Economics and Finance (L),09/13/2019 0:00 → 01/22/2020 17:10,de,"Sep 13, 2019 12:00 AM","Jan 22, 2020 5:10 PM",https://bestande.ch/uzh/50432270,131,EazyPeazy,20192,,"Jan 22, 2020 1:10 PM"
Einführung in die Ethik für Wirtschaftswissenschaftler/innen,01/15/2020 18:00 → 01/22/2020 20:32,de,"Jan 15, 2020 6:00 PM","Jan 22, 2020 8:32 PM",https://bestande.ch/uzh/50491072/chat,7,marsellus wallace,20192,,"Jan 23, 2020 12:01 PM"
MAT 101 Programming,01/20/2020 12:00 → 01/23/2020 10:26,de,"Jan 20, 2020 12:00 PM","Jan 23, 2020 10:26 AM",https://bestande.ch/uzh/50648594,2,Buddha,20192,,"Jan 23, 2020 12:04 PM"
